Station Name_Unnamed: 0_level_1,Latitude_deg,Longitude_deg,Elevation_ft,Year_Unnamed: 4_level_1,Month_Unnamed: 5_level_1,Day_Unnamed: 6_level_1,Max Temp_Degrees F,Max Temp Flag_Unnamed: 8_level_1,Min Temp_Degrees F,Min Temp Flag_Unnamed: 10_level_1,Avg Temp_Degrees F,Avg Temp Flag_Unnamed: 12_level_1,Avg Bare Soil Temp_Degrees F,Avg Bare Soil Temp Flag_Unnamed: 14_level_1,Avg Turf Soil Temp_Degrees F,Avg Turf Soil Temp Flag_Unnamed: 16_level_1,Avg Wind Speed_mph,Avg Wind Speed Flag_Unnamed: 18_level_1,Max Wind Speed_mph,Max Wind Speed Flag_Unnamed: 20_level_1,Total Solar Rad_Lys,Total Solar Rad Flag_Unnamed: 22_level_1,Rainfall_inch,Rainfall Flag_Unnamed: 24_level_1,Dew Point_Degrees F,Dew Point Flag_Unnamed: 26_level_1,Wind Chill_Degrees F,Wind Chill Flag_Unnamed: 28_level_1
Eldred,47.688,-96.822,861,2021,9,23,77.324,,49.874,,63.599,,60.488,,58.756,,10.796,,24.371,,415.359,,0.0,,44.711,,61.818,
Perley,47.179,-96.68,895,2021,9,23,76.46,,48.776,,62.618,,59.17,,58.754,,8.27,,22.512,,401.288,,0.0,,44.803,,62.161,
Humboldt,48.884,-97.15,798,2021,9,23,79.376,,48.578,,63.977,,59.646,,56.986,,11.181,,27.485,,395.297,,0.0,,43.699,,60.867,
Stephen,48.45675,-96.853953,1072,2021,9,23,77.684,,51.422,,64.553,,56.507,,58.255,,11.166,,26.499,,412.969,,0.0,,43.965,,62.42,
Warren,48.137,-96.839,854,2021,9,23,76.802,,49.532,,63.167,,56.983,,57.131,,10.673,,27.238,,413.463,,0.0,,44.079,,60.449,
Brorson,47.782,-104.248,2268,2021,9,23,74.948,,51.044,,62.996,,63.251,,61.144,,9.309,,22.758,,355.236,,0.0,,37.116,,63.375,
Sidney,47.729819,-104.152406,1950,2021,9,23,75.776,,44.073,,59.925,,58.616,,57.175,,7.263,,23.632,,364.467,,0.0,,38.928,,60.955,
Baker,48.167,-99.648,1680,2021,9,23,77.486,,47.876,,62.681,,58.777,,57.458,,8.44,,24.125,,338.932,,0.0,,43.38,,60.686,
Beach,46.789,-103.966,2932,2021,9,23,77.9,,47.498,,62.699,,58.61,,57.937,,9.419,,26.88,,332.601,,0.0,,36.485,,61.924,
Bottineau,48.821,-100.76,1479,2021,9,23,77.558,,45.532,,61.545,,57.689,,54.581,,8.344,,26.611,,386.914,,0.0,,38.293,,60.011,
Bowman,46.19969,-103.47305,3032,2021,9,23,77.126,,44.042,,60.584,,59.4,,57.649,,9.482,,28.358,,298.544,,0.0,,35.701,,60.878,
Cando,48.482935,-99.233593,1398,2021,9,23,76.514,,47.966,,62.24,,59.527,,57.252,,9.103,,23.005,,347.28,,0.0,,43.031,,59.899,
Carrington,47.509,-99.132,1561,2021,9,23,76.496,,50.252,,63.374,,61.572,,58.69,,7.728,,20.272,,364.118,,0.0,,44.838,,62.837,
Cavalier,48.844273,-97.644273,876,2021,9,23,77.414,,49.856,,63.635,,61.458,,60.963,,5.043,,19.533,,358.289,,0.0,,44.577,,62.745,
Crary,48.05,-98.606,1508,2021,9,23,77.792,,50.018,,63.905,,60.019,,58.117,,9.021,,21.885,,363.255,,0.0,,44.398,,61.825,
Dazey,47.183,-98.138,1441,2021,9,23,76.316,,47.948,,62.132,,61.177,,60.154,,9.415,,22.893,,397.362,,0.0,,43.688,,61.45,
Dickinson,46.895,-102.813,2557,2021,9,23,79.088,,44.654,,61.871,,63.475,,61.877,,7.408,,20.653,,350.199,,0.0,,36.823,,62.626,
Edgeley,46.319216,-98.766055,1649,2021,9,23,78.926,,48.992,,63.959,,58.758,,58.29,,9.102,,21.146,,429.498,,0.0,,44.668,,61.693,
Fargo,46.897,-96.812,902,2021,9,23,77.144,,50.486,,63.815,,61.63,,59.221,,8.139,,24.013,,416.043,,0.0,,45.267,,63.525,
Forest River,48.296,-97.603,893,2021,9,23,79.16,,50.81,,64.985,,59.915,,56.788,,6.528,,19.914,,402.148,,0.0,,44.156,,63.576,
Galesburg,47.21,-97.431,1087,2021,9,23,77.684,,40.528,,59.106,,54.065,,56.506,,5.683,,21.526,,413.71,,0.0,,45.557,,59.504,
Grand Forks,47.83633,-97.066838,846,2021,9,23,77.63,,50.45,,64.04,,60.234,,58.353,,8.671,,25.76,,360.562,,0.0,,44.266,,62.573,
Harvey,47.730459,-99.91937,1620,2021,9,23,77.36,,49.154,,63.257,,61.702,,58.916,,8.847,,22.893,,338.411,,0.0,,43.501,,63.13,
Hazen,47.302,-101.679,1849,2021,9,23,80.582,,40.39,,60.486,,65.517,,62.044,,7.35,,23.632,,412.726,,0.0,,39.014,,62.816,
Hettinger,46.011,-102.643,2758,2021,9,23,79.556,,38.496,,59.026,,60.115,,58.884,,7.017,,23.139,,300.398,,0.0,,37.924,,62.24,
